included in sample,include_comment,type,family_name,language,dialect,level,culture listed?,culture,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,notes,iso,song_name,url,song_tracknum,source,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
1,,Dance,Arawakan,yawa1261,,language,,Yawalapiti,Amazon and Orinoco,,araw1281,yaqa1261,yawa1261,no,unknown,unknown,glottocode_1 typo?,#N/A,Danses Villager,http://media.theglobaljukebox.org/audio/T5403R27.mp3,NA,"Global Jukebox, CREM",No secondary function,No,,,,The song is identified as such in its title or label,Genre: Dance song //GLOBAL JUKEBOX CODING ID: 3864//,Description: Village dance; in a Caribbean manner //GLOBAL JUKEBOX CODING ID: 3864//,NA,,Yes,3,Yes,,6/2/18 13:51,HLR
1,,Healing,Arawakan,yawa1261,,language,,Yawalapiti,Amazon and Orinoco,,araw1281,yaqa1261,yawa1261,no,unknown,unknown,glottocode_1 typo?,#N/A,Kozi-Kozi,http://media.theglobaljukebox.org/audio/T5403R22.mp3,"Side B, Track 10 from original CD","Global Jukebox, CREM",Dance,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Healing song; animal song; dance song //GLOBAL JUKEBOX CODING ID: 138//,"When a man has met with screaming monkeys in the forest who have seized his shadow, he falls ill. Back in the village, he asks that we dance Kozi-kozi to heal him. //CREM-CNRS, GOOGLE-TRANSLATED FROM FRENCH, CODE: CNRSMH_E_1969_005_001_001_10//",NA,,Yes,5,Yes,,6/2/18 13:43,HLR
1,,Healing,Arawakan,yawa1261,,language,,Yawalapiti,Amazon and Orinoco,,araw1281,yaqa1261,yawa1261,no,unknown,unknown,glottocode_1 typo?,#N/A,Continuação da cura,http://archives.crem-cnrs.fr/archives/items/CNRSMH_I_2002_017_010_12/,10-Dec,CREM,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Continuação da cura //CREM CODE: CNRSMH_I_2002_017_010_12//,"CollectionnBrésil, Haut-Xingu:Rituel ""yawari"" et rituel de cure Yawalapiti //CREM CODE: CNRSMH_I_2002_017_010_12//",NA,,Yes,2,Yes,,3/27/2018 14:26:56,HLR
1,,Love,Arawakan,gari1256,,language,,Afro-Caribbean,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,"Play, Darling, Play",https://folkways.si.edu/chatuye/heartbeat-in-the-music/world/music/album/smithsonian,Disc 1 Track 8,"Garland Encyclopedia of World Music, Smithsonian Folkways",Dance,No,,,,The lyrics made it clear to me what type of song this is,N/A,N/A,"We don't need no fuss tonight, just mek mi feel good tonight; We no need no fuss no fight, just gimme good loving tonight. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Heartbeat in the Music"", WHICH IS ON ALEXANDER STREET//",,Yes,5,Yes,,9/9/18 4:47,YTD
1,,Love,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gali1262,no,no,yes,,cab,Paranda,http://www.worldcat.org/oclc/49344152,Track 7,NHS 1.0,,No,,,,,5,5,5,,,,,,1/2/18 17:45,SAM
1,,Love,Arawakan,wayu1243,,language,,Goajiro,Northwestern South America,,araw1281,guaj1257,wayu1243,no,yes,yes,,,Cancion di Amor,https://theglobaljukebox.org/?share=Wayuu-T5404R58,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Song Title: Cancion di Amor//Descripton: Love Song//Source: Global Jukebox,NA,NA,,Yes,6,Yes,,9/18/2018 16:31:28,NLC
1,,Lullaby,Arawakan,gari1256,,language,,Garifuna (in Guatemala),Maya Area,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,baroumuga,http://gofile.me/3T2hs/bcbasYYde,Track 14,None of these,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"""Los arrullos (lullabies) are a part of domestic songs of many groups of the world, Garinagu are not the exception. Discrete light-hearted songs whispered and sang by the mother repeatedly and in decrescendo appear to conciliate the dreams of their children."" //TRACK 14 IN IBIMENI, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,10/25/2018 14:05:40,NLR
1,,Lullaby,Arawakan,gari1256,,language,,Garifuna (in Guatemala),Maya Area,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,dodo Fafa,http://gofile.me/3T2hs/up0a5SeD1,Track 18,None of these,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"""Los arrullos (lullabies) are a part of domestic songs of many groups of the world, Garinagu are not the exception. Discrete light-hearted songs whispered and sang by the mother repeatedly and in decrescendo appear to conciliate the dreams of their children."" //TRACK 18 IN IBIMENI, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,10/25/2018 14:11:15,NLR
1,,Lullaby,Arawakan,wayu1243,,language,,Goajiro,Northwestern South America,,araw1281,guaj1257,.,no,.,.,,,Canción de cuna,https://iucat.iu.edu/catalog/8092749,"Side 1, Track 5",NHS 1.0,,No,,,,,2,3,NA,,,,,,1/2/18 18:03,SDA
0,,Mourning,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Abaimahani,https://folkways.si.edu/the-spirit-cries-music-from-the-rainforests-of-south-america-the-caribbean/world/album/smithsonian,Disc 1 Track 3,"Garland Encyclopedia of World Music, Smithsonian Folkways",No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is",NA,"Their (Abaimahani's) primary purpose is to honor deceased ancestors...This song, performed by two women, is a lament for the composer's sister. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: The Spirit Cries: Music from the Rainforests of South America & the Caribbean, WHICH IS ON ALEXANDER STREET//","It's a sad foreign Christmas; There is a feast in my home today; I have shed tears because of death; I keep walking about. The curse of death keeps me walking; trying to cool my heart. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: The Spirit Cries: Music from the Rainforests of South America & the Caribbean, WHICH IS ON ALEXANDER STREET//",,Yes,6,Yes,,7/22/2018 16:20:32,YTD
0,,Mourning,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Abaimahani,https://folkways.si.edu/the-spirit-cries-music-from-the-rainforests-of-south-america-the-caribbean/world/album/smithsonian,Disc 1 Track 4,"Garland Encyclopedia of World Music, Smithsonian Folkways",Critical,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Although this is a song of mourning, the singer also criticizes her companions' excessive drinking. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: The Spirit Cries: Music from the Rainforests of South America & the Caribbean, WHICH IS ON ALEXANDER STREET//",NA,,Yes,6,Yes,,7/22/2018 16:24:42,YTD
1,,Mourning,Arawakan,gari1256,,language,,Garifuna (live in Guatemala),Maya Area,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Came beyedana,http://gofile.me/3T2hs/2f88EWet4,Track 9,None of these,Dance,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"""performed in secular and festive contexts, this is a dance associated to the end of a novena (nine days after a person dies)"" //TRACK 9 IN IBIMENI, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,10/25/2018 13:58:38,NLR
1,,Mourning,Arawakan,gari1256,,language,,Garifuna (living in Guatemala),Maya Area,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,nati Conde,http://gofile.me/3T2hs/VznXzfN6a,Track 13,None of these,Dance,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"""performed in secular and festive contexts, this is a dance associated to the end of a novena (nine days after a person dies)"" //TRACK 13 IN IBIMENI, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,10/25/2018 14:02:05,NLR
1,,Play,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Hunguhungu,https://folkways.si.edu/traditional-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 18,"Garland Encyclopedia of World Music, Smithsonian Folkways",Dance,No,,,,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is",Hunguhungu //This is the title of the song//,N/A,"Play your drum for us so we can dance, hi-yea, hi-yea; Christmas has come, we are going to play //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Traditional Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//",,Yes,4,Yes,"There is no clear suggestion that this song is sung to an infant or a child, but it is clearly inviting the object to play, and this is the closest sample of PLAY songs that I can find in my region.",9/9/18 5:23,YTD
1,,Praise,Arawakan,gari1256,,language,,Afro-Caribbean,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Gumagarugu,https://folkways.si.edu/chatuye/heartbeat-in-the-music/world/music/album/smithsonian,Disc1 Track3,"Garland Encyclopedia of World Music, Smithsonian Folkways",Dance,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is",N/A,"Gumagarugu is the name of the street in Dangriga, Belize where several members of Chatuye were raised. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Heartbeat in the Music"", WHICH IS ON ALEXANDER STREET//","That's where all my happiness is; That's where I will be buried; That's where my livelihood is; That's where I'll be buried. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Heartbeat in the Music"", WHICH IS ON ALEXANDER STREET//",,Yes,5,Yes,,9/9/18 4:36,YTD
0,,Procession,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Hunguhungu,https://folkways.si.edu/traditional-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 2,"Garland Encyclopedia of World Music, Smithsonian Folkways",Dance,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The hunguhungu is a favorite type of song for processionals, especially on such occasions as Carib settlement day... //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: Traditional Music of the Garifuna of Belize, WHICH IS ON ALEXANDER STREET//",NA,,Yes,5,Yes,,7/22/2018 17:08:30,YTD
0,,Procession,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Abelagudahani - Bringing It All In,https://folkways.si.edu/dabuyabarugu-inside-the-temple-sacred-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc1 Track1,"Garland Encyclopedia of World Music, Smithsonian Folkways",Greet the return of fishermen,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Abelagudahani (Bringing It All In) //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//","The congregation, led by the buyei and the drummers, escort the fishermen to the seaside and greet their return a few days later. This session was recorded after their return on Monday morning. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//",N/A,,Yes,3,Yes,,9/9/18 5:35,YTD
1,,Procession,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Abelagudahani - Bringing It All In,https://folkways.si.edu/dabuyabarugu-inside-the-temple-sacred-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 2,"Garland Encyclopedia of World Music, Smithsonian Folkways",Escort the fishermen,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Abelagudahani (Bring It All In) //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//","The congregation, led by the buyei and the drummers, escort the fishermen to the seaside and greet their return.... This is another example of a ""gather in"" song...//THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//",N/A,,Yes,2,Yes,,9/9/18 5:44,YTD
1,,Procession,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Abelagudahani with Buyei,https://folkways.si.edu/dabuyabarugu-inside-the-temple-sacred-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 3,"Garland Encyclopedia of World Music, Smithsonian Folkways",Escort and greet the fishermen,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Abelagudahani (Bringing It All In) //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//","The congregation, led by the buyei and the drummers, escort the fishermen to the seaside and greet their return.... //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//",N/A,,Yes,4,Yes,,9/9/18 5:47,YTD
0,,Procession,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Hugulendu,https://folkways.si.edu/dabuyabarugu-inside-the-temple-sacred-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 4,"Garland Encyclopedia of World Music, Smithsonian Folkways",Religious ritual known as Dugu,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Hugulendu //This is the title//,"This abelagudahani song makes specific mention of the ancient shuffle step known as hungulendu....The name of the rite, dugu...literally means ""treading down""....reflected today in the sacred shuffle step. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//",NA,,Yes,3,Yes,,9/9/18 5:52,YTD
0,no audible,Procession,Arawakan,gari1256,,language,,Garifuna (in Guatemala),Maya Area,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,San Francisco,http://gofile.me/3T2hs/qrg8KkWV9,Track 19,None of these,No secondary function,No,,,,The song is identified as such in its title or label,"""San Francisco: processional march"" //TRACK 18 IN IBIMENI, RELEVANT TEXT IS IN THE TITLE WITH STYLE OF MUSIC//",NA,NA,,No,1,Yes,,10/25/2018 14:14:08,NLR
0,no audible,Procession,Arawakan,waur1244,,language,,Meinako,Amazon and Orinoco,,araw1281,waur1244,waur1244,yes,yes,yes,,wau,MEINAKO population: Procession of men + flutes right outside the village,http://archives.crem-cnrs.fr/archives/items/CNRSMH_I_2008_020_001_08/,001_08,CREM,No secondary function,No,,,,The song is identified as such in its title or label,population MEINAKO : Procession des hommes + flûtes droites à l'exrérieur du village //CREM CODE: CNRSMH_I_2008_020_001_08//,NA,NA,,No,1,Yes,"This is an oral tradition, not a song",3/27/2018 14:37:26,HLR
1,,Story,Arawakan,araw1276,,language,,Arawak,Amazon and Orinoco,,araw1281,araw1276,wara1303,no,unknown,unknown,wara1303 has no classification info,arw,Tiga Tiga,https://folkways.si.eduathan-france/tiga-tiga/american-indian-world/music/track/smithsonian,"Band 11, Side 2",Smithsonian Folkways,Love,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"""Tiga Tiga"", a Warrau song of jealousy, sung by Nathan France, unaccompanied. Note the similarity of words to to those of Band 7, above. France translates. ""The woman says that she saw me sitting underneath the tree, and I was playing with another woman"". //SMITHSONIAN FOLKWAYS CATALOG NUMBER: FW04239_211//",NA,,Yes,5,Yes,,4/25/2018 12:49:20,HLR
1,,Story,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Paranda,https://folkways.si.edu/traditional-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 13,"Garland Encyclopedia of World Music, Smithsonian Folkways",No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",N/A,"....This one tells the tale of a fellow who repeatedly sneaked into someone's parked truck with a woman.... The story goes: Come out of my Whip, the Creole says... //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Traditional Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//",N/A,,Yes,6,Yes,,9/9/18 5:13,YTD
1,,Story,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Sausubey's Song,https://folkways.si.edu/dabuyabarugu-inside-the-temple-sacred-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 6,"Garland Encyclopedia of World Music, Smithsonian Folkways",Religious,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"This dugu song has a known history... A man known as Sausubey live in Seine Bight over 80 years ago... when he became very ill he refused to see the buyei...His niece consulted a buyei and was told to hold a dugu... on the way to harvest manioc to make areba for the dugu, the spirits gave her this song. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: ""Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize"", WHICH IS ON ALEXANDER STREET//",NA,,Yes,4,Yes,,9/9/18 6:05,YTD
1,,Story,Arawakan,yawa1261,,language,,Yawalapiti,Amazon and Orinoco,,araw1281,yaqa1261,yawa1261,no,unknown,unknown,glottocode_1 typo?,#N/A,Ceremonial Song,http://media.theglobaljukebox.org/audio/T5403R23.mp3,"Side 2, Band 1","Global Jukebox, Smithsonian Folkways",No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,Description: Ceremonial song recounting the creation legend and invoking spirits of the dead //GLOBAL JUKEBOX CODING ID: 139//,NA,,Yes,4,Yes,,3/23/2018 12:09:54,HLR
1,,Work,Arawakan,ajyi1238,,language,,Asháninka,Amazon and Orinoco,,araw1281,ajyi1238,asha1243,no,yes,yes,,cpc,Manioc Beer Song,http://media.theglobaljukebox.org/audio/T5402R46.mp3,"Band 11, Side 2","Global Jukebox, Smithsonian Folkways",No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Manioc Beer Song //GLOBAL JUKEBOX CODING ID: 894//,Manioc song; work song //GLOBAL JUKEBOX CODING ID: 894//,NA,,Yes,3,Yes,,9/3/18 14:03,HLR
0,,Work,Arawakan,ajyi1238,,language,,Asháninka,Central Andes,,araw1281,ajyi1238,asha1243,no,yes,yes,,cpc,Manioc Beer Song,https://theglobaljukebox.org/?share=Ash%C3%A1ninka-T5402R46,NA,Global Jukebox,No secondary function,No,,,,The song is identified as such in its title or label,"Manioc song; work song//CODING ID 894 in GLOBAL JUKEBOX, RELEVANT TEXT IN GENRE FIELD//",NA,NA,,Yes,6,Yes,,10/20/2018 20:06:06,KJH
0,,Work,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Ahorohani (Working Song),https://folkways.si.edu/ahorohani-working-song/world/music/track/smithsonian,"Disc 1, Track 1 of the album: ""The Black Caribs of Honduras""",Global Jukebox,Building song,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Work song; building song //CODING ID 481 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//","Punta used as an ahorohani or working song, in this case for house-building; Arawak //CODING ID 481 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,"In Global Jukebox, with coding ID 481, the link can be found under ""source notes""",Yes,3,Yes,,7/7/18 18:18,YTD
0,,Work,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Oremu egi,https://folkways.si.edu/traditional-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 5,"Garland Encyclopedia of World Music, Smithsonian Folkways",No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Grating song //This is in the title//,"The Caribbean historian...reports that Island Arawak women would lighten the work of grating bitter manioc by singing a special type of grating song. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: Traditional Music of the Garifuna of Belize, WHICH IS ON ALEXANDER STREET//",NA,,Yes,6,Yes,,7/22/2018 17:21:59,YTD
0,,Work,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Oremu egi,https://folkways.si.edu/traditional-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Disc 1 Track 6,"Garland Encyclopedia of World Music, Smithsonian Folkways",No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Grating song //This is in the title//,"...Island Arawak women would lighten the work of grating bitter manioc by singing a special type of grating song. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: Traditional Music of the Garifuna of Belize, WHICH IS ON ALEXANDER STREET//",NA,,Yes,4,Yes,,7/22/2018 17:25:51,YTD
1,,Work,Arawakan,gari1256,,language,,Garifuna,Central America,,araw1281,gari1256,gari1256,yes,yes,yes,,cab,Grating song,https://folkways.si.edu/the-spirit-cries-music-from-the-rainforests-of-south-america-the-caribbean/world/album/smithsonian,Disc 1 Track 2,"Garland Encyclopedia of World Music, Smithsonian Folkways",No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Grating Song //This is the title//,"...five or six women grate it on a large board studded with sharp rocks. The women sing grating songs as they work to lessen the monotony of the task and to coordinate their movements. //THE TEXT CAN BE FOUND IN THE LINER NOTE FOR THE ALBUM: The Spirit Cries: Music from the Rainforests of South America & the Caribbean, WHICH IS ON ALEXANDER STREET//",NA,,Yes,4,Yes,"From the 30 second sample on Smithsonian Folkways, this is the same song as the ""Oremu egi"" of the album Traditional Music of the Garifuna of Belize. But this is 2'24 long while the other is 1'37. So I decided to categorize them as different songs.",7/22/2018 17:35:43,YTD
0,dropped because we need tribal permission,Dance,Athabaskan-Eyak-Tlingit,nort2942,,language,,Sahtu Dene,Arctic and Subarctic,,atha1245,nort2942,slav1253,no,yes,yes,,scs,"Dance from Jean Marie River, 1",https://theglobaljukebox.org,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song //GENRE ON GLOBAL JUKEBOX//,Dance from Jean Marie River; male soloist in litany over glass jar and drum //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 1506, found by searching Sahtu Dene",,,No,,2/16/2018 14:54:04,CMB
1,,Dance,Athabaskan-Eyak-Tlingit,tlin1245,,language,,Tlingit,Northwest Coast and California,,atha1245,tlin1245,tlin1245,yes,yes,yes,,tli,Tsimshian blanket dance song,http://www.worldcat.org/oclc/593856458,"Side 2, Track 4",NHS 1.0,,No,,,,,12,12,NA,,,,,,1/2/18 17:56,MDS
0,no audible,Dance,Athabaskan-Eyak-Tlingit,tlin1245,,language,,Tlingit; Tsimshian,Northwest Coast and California,,atha1245,tlin1245,tlin1245,yes,yes,yes,,tli,Tsimshian Blanket Dance Song / Ballad of the Woodworm (Part 1) (medley),https://folkways.si.edu/people-of-yakutat-bev-rawson-and-john-ingalls/tsimshian-blanket-dance-song/ballad-of-the-woodworm-part-1-medley/american-folk/music/track/smithsonian,"Disc 1, Track 9",Smithsonian Folkways,No secondary function,No,,,,The song is identified as such in its title or label,NA,NA,NA,,No,6,Yes,,8/23/2018 20:20:21,YJS
0,,Healing,Athabaskan-Eyak-Tlingit,carr1249,,language,,Dakelh,Arctic and Subarctic,,atha1245,carr1249,carr1249,yes,yes,yes,,crx,Medicine Woman's Song,https://theglobaljukebox.org,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing song //GENRE ON GLOBAL JUKEBOX//,Medicine woman's song; male duet over slow hand clapping and interjections //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 1516, found by searching Dakelh",,,No,,2/15/2018 16:47:29,CMB
0,,Healing,Athabaskan-Eyak-Tlingit,nort2942,,language,,Sahtu Dene,Arctic and Subarctic,,atha1245,nort2942,slav1253,no,yes,yes,,scs,Shaman's Personal Wind Medicine Song,https://theglobaljukebox.org,NA,Global Jukebox,Shaman,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Shaman song; healing song; medicine song //GENRE ON GLOBAL JUKEBOX//,Shaman's personal wind medicine song; heavy static and distorted sound //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 3092, found by searching Sahtu Dene",,,No,,2/15/2018 17:04:41,CMB
0,,Love,Athabaskan-Eyak-Tlingit,carr1249,,language,,Dakelh,Arctic and Subarctic,,atha1245,carr1249,carr1249,yes,yes,yes,,crx,Love Song,https://theglobaljukebox.org,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Love Song //SONG AND GENRE LABELS IN GLOBAL JUKEBOX//,Love song; male soloist unaccompanied //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 3154, can be found by searching Dakelh",,,No,,2/15/2018 16:43:39,CMB
1,,Love,Athabaskan-Eyak-Tlingit,nava1243,,language,,Navajo,Southwest and Basin,,atha1245,nava1243,nava1243,yes,yes,yes,,nav,I didn't care,http://www.worldcat.org/oclc/40399497,Track 1,NHS 1.0,,No,,,,,3,3,NA,,,,,,1/2/18 18:06,CMB
0,,Love,Athabaskan-Eyak-Tlingit,nort2942,,language,,Sahtu Dene,Arctic and Subarctic,,atha1245,nort2942,slav1253,no,yes,yes,,scs,"Love Song, Ula",https://theglobaljukebox.org,NA,Global Jukebox,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Love song //GENRE ON GLOBAL JUKEBOX//,Love song; Ula; male soloist in litany over drum and shaker; audience in background //DESCRIPTION ON GLOBAL JUKEBOX//,NA,"Coding ID 1498, found by searching Sahtu Dene",,,No,,2/16/2018 14:01:48,CMB
