notes,filename,song_name,song_tracknum,source,url_recode,format (Harvard only),cost,notes,url_orig,source_first,widesample,deepsample,comments,type,family_name,language,dialect,level,culture listed?,culture,culture standardized,region,clade,family_code,prev_glottocode1,prev_glottocode2,prev_agree,pre_common_subfamily,pre_common_family,iso,type_secondary,unpublished,collector_name,collector_affil,collector_email,song_reason,song_label,song_info,song_lyrics,song_morenotes,audible_singer,easyhear,access,morenotes,ts,annotator
"repeat: included in ""Military Society: Hatuxka Lance Society / Wolf War Raid / Military Society: Horse Society / Story of the Wolf and the Scalped Man (medley)""",NHS2-1082.wav,Story Of The Wolf And The Scalped Man,"Band 5, d",Folkways track download,https://folkways.si.edu/mark-evarts/military-society-hatuxka-lance-society/wolf-war-raid/military-society-horse-society/story-of-the-wolf-and-the-scalped-man-medley/american-indian/music/track/smithsonian,,$0.99,repeat,https://folkways.si.edu/mark-evarts/military-society-hatuxka-lance-society/wolf-war-raid/military-society-horse-society/story-of-the-wolf-and-the-scalped-man-medley/american-indian/music/track/smithsonian,Smithsonian Folkways,1,0,,Story,Caddoan,pawn1254,,language,,Pawnee/ Skidi,Pawnee,Plains and Plateau,,cadd1255,pawn1254,pawn1254,yes,yes,yes,paw,No secondary function,No,,,,The song is identified as such in its title or label,"Story//SMITHSONIAN FOLKWAYS MUSIC OF THE PAWNEE, LINER NOTES PG 11 BAND 5, D//","A coyote or wolf story told only in the Winter.The incidents refer to the ""trickster"" character of the wolf//SMITHSONIAN FOLKWAYS MUSIC OF THE PAWNEE, LINER NOTES PG 11 BAND 5, D//","someone is probably in there, here they, willows, are not quite touching • (the bank), He is to bring water for me (the unseen being says)//SMITHSONIAN FOLKWAYS MUSIC OF THE PAWNEE, LINER NOTES PG 11 BAND 5, D//",,Yes,4,Yes,A Pawnee sang this song but there is no indication if it is technically a field recording,12/31/2018 22:35:29,SAS
repeat,NHS2-1196.wav,Verses from the Draumkvedet - The Vision of Heaven and Hell,"Disc 1, Track 14",Folkways track download,https://folkways.si.edu/gudrun-grave-norlund/verses-from-the-draumkvedet-the-vision-of-heaven-and-hell/world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/gudrun-grave-norlund/verses-from-the-draumkvedet-the-vision-of-heaven-and-hell/world/music/track/smithsonian,Smithsonian Folkways,0,1,,Story,Indo-European,norw1258,,language,,Norwegian,Norwegian,Scandinavia,germ1287,indo1319,norw1258,norw1258,yes,yes,yes,nor,Dance,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,NA,"A large number of the Kjempevise-melodier or ancient heroic ballads have been preserved in the Province of Telemark. The most famous of them all is the so-called Draumkvedet -- the Vision of Heaven and Hell --which dates back to the 12th Century. It describes the legendary dream of a man who slept from Christmas Eve to Epiphany and the visions he wit-nessed of souls in purgatory. Most of these old ballads are in the nature of dance songs in which the leader of the group renders the narrative while others join in the refrain. //SMITHSONIAN FOLKWAYS, Songs and Dances of Norway, CATALOG NUMBER FW04008_207//",,Yes,6,Yes,,########,PWC
Same track as NHS-1324,NHS2-1325.wav,Sangel sa wata Babae,213,Folkways track download,https://folkways.si.edu/magindanaon-lullaby/sangel-sa-wata-babae/world/music/track/smithsonian,,$0.99,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=23782,Global Jukebox,0,1,,Lullaby,Austronesian,magu1243,,language,,Maguindanao,Maguindanao,Southeast Asia,,aust1307,magu1243,magu1243,yes,yes,yes,mdh,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby // GLOBAL JUKEBOX CODING ID 1560 //,NA,NA,,Yes,5,Yes,,6/20/2018 0:33:32,JCS
incorrect link (doesn't match GJ track),NHS2-1494.wav,Shangara,NA,Folkways track download,https://folkways.si.edu/stephen-runeso-gumbo/shangara-pa-chikaranga/track/smithsonian,,$0.99,,http://media.theglobaljukebox.org/audio/T5439R44.mp3,Global Jukebox,0,1,,Dance,Atlantic-Congo,shon1251,duma1252,language,,Shona Karanga,Karanga,Southern Africa,bant1294,atla1278,shon1251,shon1251,yes,yes,yes,sna,No secondary function,No,,,,The song is identified as such in its title or label,"Dance song //GLOBAL JUKEBOX CODING ID 2679, GENRE FIELD//","Dance song //GLOBAL JUKEBOX CODING ID 2679, DESCRIPTION FIELD//",NA,,Yes,6,Yes,,5/21/2018 12:05:45,AMB
repeat of NHS2-0450,NHS2-1607.wav,cora- harvest chant,disk 1 track 13,Folkways track download,https://folkways.si.edu/cora-shaman-with-mitote/cora-harvest-chant/american-indian-world/music/track/smithsonian,,$0.99,,https://folkways.si.edu/cora-shaman-with-mitote/cora-harvest-chant/american-indian-world/music/track/smithsonian,Smithsonian Folkways,0,1,,Work,Uto-Aztecan,elna1235,,language,,cora not found on EHARF,Cora,Southwest and Basin,,utoa1244,cora1260,cora1260,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Cora - Harvest Chant //CATALOG NUMBER FW04413_206 IN SMITHSONIAN FOLKWAYS, RELEVANT TEXT IS IN THE TITLE FIELD//",NA,NA,search bar --> cora --> indian music of mexico,Yes,6,Yes,,11/23/2018 21:02:26,BSG
all speech,NHS2-1615.wav,Grand Canyon Creation Story,"Disk 1, Track 10",Folkways track download,https://folkways.si.edu/phyllis-yoyetewa-kachinhongva-hopi/grand-canyon-creation-story/american-folk-american-indian-science-nature/track/smithsonian,,$0.99,,https://folkways.si.edu/phyllis-yoyetewa-kachinhongva-hopi/grand-canyon-creation-story/american-folk-american-indian-science-nature/track/smithsonian,Smithsonian Folkways,1,1,Uto,Story,Uto-Aztecan,hopi1249,,language,,Hopi found on eHARF,Hopi,Southwest and Basin,,utoa1244,hopi1249,hopi1249,yes,yes,yes,hop,No secondary function,No,,,,The song is identified as such in its title or label,"Grand Canyon Creation Story //CATALOG NUMBER SFW40167_110 IN SMITHSONIAN FOLKWAYS, RELEVANT TEXT IS IN THE TITLE FIELD//",NA,NA,,Yes,6,Yes,,12/28/2018 17:52:49,BSG
"something up with Folkways album - the song that matches the description and audio at GJ is Mansa (Funeral Song). The track ""Four lullabies"" sounds wrong and does not fit the description in the liner notes or GJ. This seems like correct song: https://folkways.si.edu/mansa-funeral-song/world/music/track/smithsonian",NHS2-1649.wav,Lullabies,NA,Folkways track download,http://www.folkways.si.edu/TrackDetails.aspx?itemid=14205,,$0.99,this is the same song as below (listed twice on GJ),https://theglobaljukebox.org/?share=Fut-T5624R03,Global Jukebox,0,1,,Lullaby,Atlantic-Congo,bafu1246,,language,,Fut,Fut,Western Africa,bant1294,atla1278,bafu1246,bafu1246,yes,yes,yes,bfd,No secondary function,No,,,,The song is identified as such in its title or label,"Lullaby //CODING ID 420 IN GLOBAL JUKEBOX, AUDIO FILE ID 5624R03, RELEVANT TEXT IS IN THE GENRE FIELD//","Lullaby; the mother's hand slapping against the baby is audible //CODING ID 420 IN GLOBAL JUKEBOX, AUDIO FILE ID 5624R03, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,########,JMI
repeat of NHS2-1649,NHS2-1650.wav,Lullabies,NA,Folkways track download,http://www.folkways.si.edu/TrackDetails.aspx?itemid=14205,,$0.99,,http://media.theglobaljukebox.org/audio/T5624R04.mp3,Global Jukebox,0,1,the description says it's a funeral song,Lullaby,Atlantic-Congo,bafu1246,,language,,Fut,Fut,Western Africa,bant1294,atla1278,bafu1246,bafu1246,yes,yes,yes,bfd,No secondary function,No,,,,The song is identified as such in its title or label,"Lullaby//GLOBAL JUKEBOX CODING ID 2565/AUDIO FILE ID T5624R04, RELEVANT TEXT IS IN THE GENRE FIELD//","Lullaby; the mother's hand slapping against the baby is audible//GLOBAL JUKEBOX CODING ID 2565/AUDIO FILE ID T5624R04, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,########,JMI
repeat 0741,NHS2-0749.wav,Spanish Children's Song #1 (Performed by Juan Ramirez) -- Todos Santos Chuchumatanes,Track 10,Folkways track download,https://folkways.si.edu/juan-ramirez/spanish-childrens-song/american-indian-latin-world/music/track/smithsonian,,$0.99,,http://gofile.me/3T2hs/OTs9uXZGx,None of these,0,1,,Play,Indo-European,stan1288,,language,,Mam Indians,Mam,Maya Area,ital1284,indo1319,stan1288,stan1288,yes,yes,yes,spa,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Spanish Children's Song #1 (Performed by Juan Ramirez) -- Todos Santos Chuchumatanes //TRACK 10 IN MUSIC OF GUATEMALA, RELEVANT TEXT IS IN THE TITLE//","Songs that he learned at school //TRACK 10 IN MUSIC OF GUATEMALA, RELEVANT TEXT IS IN THE ETHNOGRAPHIC TEXT//","""I would like to be a cat// To enter through your window.// Kitty-cat, kitty-cat of mine,// Catches mice in the corners."" //TRACK 10 IN MUSIC OF GUATEMALA, RELEVANT TEXT IS IN THE LYRICS//",,Yes,6,Yes,,########,NLR
repeat 0742,NHS2-0750.wav,Spanish Children's Song #2 (Performed By Juan Ramirez) -- Todos Santos Cuchumatanes,Track 11,Folkways track download,https://folkways.si.edu/juan-ramirez/spanish-childrens-song-2/american-indian-latin-world/music/track/smithsonian,,$0.99,,http://gofile.me/3T2hs/CRiHK35Ln,None of these,0,1,,Play,Indo-European,stan1288,,language,,Mam Indians,Mam,Maya Area,ital1284,indo1319,stan1288,stan1288,yes,yes,yes,spa,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Spanish Children's Song #2 (Performed By Juan Ramirez) -- Todos Santos Cuchumatanes //TRACK 11 IN MUSIC OF GUATEMALA, RELEVANT TEXT IS IN THE TITLE//","Songs that he learned in school //TRACK 11 IN MUSIC OF GUATEMALA, RELEVANT TEXT IS IN THE ETHNOGRAPHIC TEXT//","""Kitty-cat, kitty-cat, your mother says// That the food is on the table// Well tell Mammy that I shall not eat,// Since there is a party and to the dance I shall go."" //TRACK 11 IN MUSIC OF GUATEMALA, RELEVANT TEXT IS IN THE ETHNOGRAPHIC TEXT//",,Yes,6,Yes,,########,NLR
"""No audio yet""",NHS2-0344.wav,Entierro De Wawas,NA,Global Jukebox,,,,"""no audio yet""",https://theglobaljukebox.org/?share=Aymara-T5488R01,Global Jukebox,1,0,,Mourning,Aymaran,cent2142,,language,,Aymara,Aymara,Central Andes,,ayma1253,ayma1253,ayma1253,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Burial song for the burial of babies//CODING ID 2870 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,,,No,,########,KJH
"""No audio yet""",NHS2-0345.wav,Song of Christmas,NA,Global Jukebox,,,,"""no audio yet""",https://theglobaljukebox.org/?share=Aymara-T5488R01,Global Jukebox,1,0,,Praise,Aymaran,cent2142,,language,,Aymara,Aymara,Central Andes,,ayma1253,ayma1253,ayma1253,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Sung to Christ child by women as they go to the lake//CODING ID 2865 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,NA,,,,No,,########,KJH
"""No audio yet""",NHS2-0356.wav,Burial Song,NA,Global Jukebox,,,,"""no audio yet""",https://theglobaljukebox.org/?share=Quechua-T5488R1,Global Jukebox,1,0,,Mourning,Quechuan,cusc1236,,language,,Quechua,Quechua,Central Andes,,quec1387,quec1387,quec1387,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Burial Song//CODING ID 2494 IN GLOBAL JUKEBOX, RELENANT TEXT IN GENRE",NA,NA,,,,No,,########,KJH
"""No audio yet""",NHS2-0361.wav,Kios,NA,Global Jukebox,,,,"""no audio yet""",https://theglobaljukebox.org/?share=Quechua-T5543R47,Global Jukebox,1,0,,Praise,Quechuan,nort2976,,language,,Quechua,Quechua,Central Andes,,quec1387,quec1387,quec1387,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Kios is small bird with wings but no tail//CODING ID 2503 IN GLOBAL JUKEBOX, RELEVANT TEXT IN THE DESCRIPTION FIELD//",NA,NA,,,,No,,########,KJH
"""No audio yet""",NHS2-0362.wav,Piñi,NA,Global Jukebox,,,,"""no audio yet""",https://theglobaljukebox.org/?share=Quechua-T5488R12,Global Jukebox,1,0,,Story,Quechuan,puno1238,,language,,Quechua,Quechua,Central Andes,,quec1387,quec1387,quec1387,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,"Why have you come from the banks of the sea//CODING 2502 IN GlOBAL JUKEBOX, RELEVANT TEXT IN DESCRIPTION FIELD//",NA,NA,,,,No,,########,KJH
No audio file on global jukebox (or elsewhere),NHS2-0674.wav,Cainguáes Canciones 1,NA,Global Jukebox,,,,No audio file on global jukebox (or elsewhere),https://theglobaljukebox.org/?share=Guaran%C3%AD-,Global Jukebox,1,0,,Work,Tupian,para1311,,language,,Guaraní,Guarani,Eastern South America,,tupi1275,mawe1252,para1311,no,yes,yes,,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Propitiatory song //GLOBAL JUKEBOX CODING ID: 3906//,Description: Gathering song 1; propitiatory song //GLOBAL JUKEBOX CODING ID: 3906//,NA,,,,No,,9/28/2018 9:37:48,TTI
No audio file on global jukebox (or elsewhere),NHS2-0675.wav,Cainguáes Canciones 3,NA,Global Jukebox,,,,No audio file on global jukebox (or elsewhere),https://theglobaljukebox.org/?share=Guaran%C3%AD-,Global Jukebox,1,0,,Work,Tupian,para1311,,language,,Guaraní,Guarani,Eastern South America,,tupi1275,mawe1252,para1311,no,yes,yes,,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Gathering song //GLOBAL JUKEBOX CODING ID: 3908//,Description: Gathering song 3; Propitiatory song //GLOBAL JUKEBOX CODING ID: 3908//,NA,,,,No,,11/15/2018 3:46:49,TTI
Duplicate of NHS2-0609,NHS2-0964.wav,Song of Deng Ushucalla,NA,Global Jukebox,http://media.theglobaljukebox.org/audio/T5436R27m.mp3,,,"Not sure why column AO has ""--""",https://theglobaljukebox.org/?share=Shilluk-T5436R27m,Global Jukebox,,,repeat of above,Healing,Nilotic,shil1265,,language,,Shiluk,Shilluk,Northern Africa,,nilo1247,shil1265,shil1265,yes,yes,yes,shk,No secondary function,No,,,,The song is identified as such in its title or label,Healing Song,Medicine Song,NA,,Yes,4,Yes,,########,RJW
Duplicate of NHS2-0457,NHS2-0979.wav,Son del Elote,NA,Global Jukebox,http://media.theglobaljukebox.org/audio/T5405R11.mp3,,,,https://theglobaljukebox.org/?share=Wix%C3%A1ritari-T5405R11,Global Jukebox,0,1,,Dance,Uto-Aztecan,huic1243,,language,,Wixaritari,Huichol,Northern Mexico,,utoa1244,huic1243,huic1243,yes,yes,yes,hch,No secondary function,No,,,,The song is identified as such in its title or label,"Dance song //CODING ID 2757 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//","The Wixáritari were among the last Central American indigenous groups to be conquered by the Spaniards in the 18th century. Many retired to the inaccessible mountains of Jalisco and have lived there ever since, rejecting missionaries and modern customs until the 1960's. //CODING ID 2757 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,4,Yes,,7/18/2018 18:42:59,LOT
Duplicate of NHS2-0463,NHS2-0980.wav,Magic Healer's Song,NA,Global Jukebox,http://media.theglobaljukebox.org/audio/T5405R07.mp3,,,,https://theglobaljukebox.org/?share=Wix%C3%A1ritari-T5405R10,Global Jukebox,1,1,uto,Healing,Uto-Aztecan,huic1243,,language,,Wixaritari,Huichol,Northern Mexico,,utoa1244,huic1243,huic1243,yes,yes,yes,hch,No secondary function,No,,,,The song is identified as such in its title or label,"Shaman song; healing song; magic song; responsorial song //CODING ID 2756 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//","antiphonal call and response; fast tempo; melodic line flips up to higher male register The Wixáritari were among the last Central American indigenous groups to be conquered by the Spaniards in the 18th century. Many retired to the inaccessible mountains of Jalisco and have lived there ever since, rejecting missionaries and modern customs until the 1960's. //CODING ID 2756 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE DESCRIPTION FIELD//",NA,,Yes,6,Yes,,7/18/2018 18:36:56,LOT
Duplicate of NHS2-0466,NHS2-0981.wav,"Cancion Para La Muchacha, Me Voy Para Durango",NA,Global Jukebox,http://media.theglobaljukebox.org/audio/T5405R01.mp3,,,,https://theglobaljukebox.org/?share=Wix%C3%A1ritari-T5405R01,Global Jukebox,1,1,uto,Love,Uto-Aztecan,huic1243,,language,,Huichol; Wixáritari,Huichol,Northern Mexico,,utoa1244,huic1243,huic1243,yes,yes,yes,hch,Dance,No,NOTE: might be the same as cancion de casamiento,,,The song is identified as such in its title or label,Love song; courtship song; dance song //GLOBAL JUKEBOX CODING ID 154 INFO IN GENRE FIELD//,Song in Huichol; lyrics deal with a man who has set out on a journey to Durango to bring his wife-to-be a present; male soloist over small guitar; sound of dancing in background //GLOBAL JUKEBOX CODING ID 154 INFO IN DESCRIPTION FIELD//,NA,,Yes,4,Yes,,7/16/2018 19:54:41,LOT
duplicate of NHS2-1054,NHS2-1044.wav,Alavado,NA,Global Jukebox,http://media.theglobaljukebox.org/audio/T5621R13m.mp3,,,duplicate,https://theglobaljukebox.org/?share=Afro-Colombian-T5621R13m,Global Jukebox,0,1,,Mourning,Indo-European,stan1288,,language,,Afro-Colombian,Afro-Colombian,Northwestern South America,ital1284,indo1319,stan1288,stan1288,yes,yes,yes,spa,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Genre: Funeral Song dirge// CODING ID 3887 GLOBAL JUKEBOX, GENRE SECTION","""Dirge...sung mostly at funeral wake""//CODING ID 3887 GLOBAL JUKEBOX, DESCRIPTION SECTION",NA,,Yes,6,Yes,,9/19/2018 15:21:33,NLC
"""No audio yet""",NHS2-1171.wav,Tau' Olunga,NA,Global Jukebox,,,,,https://theglobaljukebox.org/?share=Tongans-,Global Jukebox,,,no audio,Dance,Austronesian,tong1325,,language,,Tongans,Tongan,Polynesia,,aust1307,tong1325,tong1326,no,yes,yes,ton,No secondary function,No,,,,The song is identified as such in its title or label,"Dance Song //GLOBAL JUKEBOX, CODING ID 4380 RELEVANT INFORMATION IN THE GENRE SECTION//",NA,NA,"wheel > Search ""tongans"" > choose ""Tau' Olunga""",,,No,,########,DIS
"""No audio yet""",NHS2-1172.wav,Tokelau,NA,Global Jukebox,,,,,https://theglobaljukebox.org/?share=Tongans-,Global Jukebox,,,no audio,Dance,Austronesian,tong1325,,language,,Tongans,Tongan,Polynesia,,aust1307,tong1325,tong1326,no,yes,yes,ton,No secondary function,No,,,,The song is identified as such in its title or label,"Dance Song //GLOBAL JUKEBOX, CODING ID 4381 RELEVANT INFORMATION IN THE GENRE SECTION//",NA,NA,"wheel > Search ""tongans"" > choose ""Tokelau""",,,No,,########,DIS
Duplicate of NHS2-0458,NHS2-1616.wav,Marriage Song,no track number Lomax Source: T1738.B44,Global Jukebox,http://media.theglobaljukebox.org/audio/T5405R08.mp3,,,,https://theglobaljukebox.org/?share=Wix%C3%A1ritari-T5405R08,Global Jukebox,0,1,,Procession,Uto-Aztecan,huic1243,,language,,wixaritari; huichol; only huichol found on EHARF,Huichol,Southwest and Basin,,utoa1244,huic1243,huic1243,yes,yes,yes,hch,Dance,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Marriage Song //CODING ID 2754 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE SONG TITLE FIELD//","Wedding song; dance song //CODING ID 2754 IN GLOBAL JUKEBOX, RELEVANT TEXT IS IN THE GENRE FIELD//",NA,,Yes,6,Yes,,11/23/2018 22:06:36,BSG
"This is only a musical score, can't find the song as a recording",NHS2-0433.wav,Arrullo a la niña retrato,NA,Harvard Library,http://id.lib.harvard.edu/alma/990021285060203941/catalog,,,,http://www.worldcat.org/title/dos-canciones-con-acompanamiento-de-piano/oclc/2809191&referer=brief_results,WorldCat,0,1,uto,Lullaby,Uto-Aztecan,azte1234,,family,,Nahuatl,Aztec,Central Mexico,,utoa1244,azte1234,azte1234,yes,yes,yes,,No secondary function,No,,,,The song is identified as such in its title or label,Lullaby Song// TITLE IN WORLDCAT//,NA,NA,The provided hyperlink has the information on the locations where the song can be found.,,,No,,########,JAY
"GJ says song is on the LP listed, but LP tracklist doesn't reflect this. Once digitzed, listen through to see if any match GJ track. LP: Folk music from Japan, the Ryukyus, Formosa and Korea",NHS2-0551.wav,Taroko,"""NA""",Harvard Library,http://id.lib.harvard.edu/alma/990074535930203941/catalog,LP,,,http://media.theglobaljukebox.org/audio/T5629R11.mp3,Global Jukebox,1,1,,Procession,Austronesian,sais1237,,language,,Saisiyat,Saisiyat,East Asia,,aust1307,sais1237,.,no,.,.,xsy,Wedding,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Wedding song; welcome song"" //CODING ID 35 ON GLOBAL JUKEBOX","""Welcoming the Bride; the Sajek construct their songs in the form of rounds, a characteristic of hunter-gatherer music in India and Africa"" //CODING ID 35 ON GLOBAL JUKEBOX","""NA"" //CODING ID 35 ON GLOBAL JUKEBOX",,Yes,6,Yes,,########,MAK
mostly spoken word with a very short segment of song,NHS2-1066.wav,Cheyenne Story of the Bogeyman,"Side A, Track 8",Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212044033070003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Plains:%20Comanche,%20Cheyenne,%20Kiowa,%20Caddo,%20Wichita,%20Pawnee",LP,,,https://www.loc.gov/folklife/LP/AFSL39Plains.pdf,Library of Congress Catalog Card Number 82-743369,1,0,,Story,Algic,chey1247,,language,,"Cheyenne, Heévâhetaneo'o, Southern Cheyenne",Cheyenne,Plains and Plateau,,algi1248,chey1247,stan1293,no,no,no,chy,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Story//MUSIC OF THE AMERICAN INDIANS, LOC, AFS L39, LINER NOTES, PAGE 13, A8//","""When there's a gathering together at ceremonials, you know, getting so many parents and the children, they try to keep the children inside. So the bogeyman he goes along allover the camp so he keep them in. Every tipi he stops andhe sings this song to them//MUSIC OF THE AMERICAN INDIANS, LOC, AFS L39, LINER NOTES, PAGE 13, A8//","Mista Komena, Bogeyman is coming//MUSIC OF THE AMERICAN INDIANS, LOC, AFS L39, LINER NOTES, PAGE 13, A8//",First issued on long-playing record in 1954. Accompanying booklet published 1982.,,,No,,12/31/2018 22:56:19,SAS
duplicate,NHS2-1363.wav,Mari Stoyane Soyane,"Side A, Cut 2",Harvard Library,,,,"Duplicate of above ""Mari Stoyane Stoyane""",https://theglobaljukebox.org/?share=Sofia%20District-T5462R68,"Global Jukebox, Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",0,1,,Procession,Indo-European,bulg1262,,language,,Bulgarian (Sofia District),Bulgarian,Southeastern Europe,balt1263,indo1319,bulg1262,bulg1262,yes,yes,yes,bul,Spring Song,No,,,,The song is identified as such in its title or label,"Ritual song; door to door singing; spring song// GLOBAL JUKEBOX, CODING ID: 358 //","Ritual song; sung the day before Palm Sunday, when girls dressed in plumed headgear go from house to house around the village to sing in the Spring and to bring luck// GLOBAL JUKEBOX, CODING ID: 358 //",NA,,Yes,6,Yes,,########,JCVL
"This is spoken, not a song",NHS2-1680.wav,Stories from Daily life,NA,Harvard Library,http://id.lib.harvard.edu/alma/990096102130203941/catalog,CD,,,http://gofile.me/3T2hs/RWrSsO9Ws,Loeb AWM,1,0,,Mourning,Basque,basq1248,,language,,French Basques,Basque,Western Europe,,0,basq1248,basq1248,yes,yes,yes,eus,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,“An old woman is mourning the death of a man who has just died” //AWM CD 12367 IN LOEB; INFO IN LINER NOTES//,NA,Multiple songs on this track; this one plays 01:33-01:52,Yes,5,Yes,,########,KVL
"This is spoken, not a song",NHS2-1684.wav,Traditional Narrative,NA,Harvard Library,http://id.lib.harvard.edu/alma/990096102130203941/catalog,CD,,,http://gofile.me/3T2hs/7oE3Mxhn9,Loeb AWM,1,0,,Story,Basque,basq1248,,language,,French Basques,Basque,Western Europe,,0,basq1248,basq1248,yes,yes,yes,eus,No secondary function,No,,,,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"“While visiting a friendly king, King Solomon is asked about his family. Ashamed of having only three daughters, he resorts to a lie, pretending to have three sons. His host now asks the Jewish king to send him one of them. Much distressed. Solomon returns home, deciding to send him one of his daughters disguised as a man. In order to test his daughters courage, he dresses up as a robber and waits in ambush for each of them. The youngest passes the test well and is thus chosen to travel to the foreign court.” //AWM CD 12367 IN LOEB; INFO IN LINER NOTES//",NA,,Yes,5,Yes,,########,KVL
Can not confirm that youtube link is correct song,NHS2-0995.wav,El Corrido de Gregorio Cortez,NA,Harvard Library,http://id.lib.harvard.edu/alma/990088341580203941/catalog,CD,,https://www.youtube.com/watch?v=zbFEODgaTZw,http://gofile.me/3T2hs/dkb7AMMkb,"Pg 83 of the book: Music in Mexico written by Alejandro L. Madrid, published by Oxford University Press (2013)",0,1,,Story,Indo-European,stan1288,,language,,Mexican,Mexican,Northern Mexico,ital1284,indo1319,stan1288,stan1288,yes,yes,yes,spa,No secondary function,No,,,,The song is identified as such in its title or label,Corrido (Ballad) Source: pg 83 of the book Music in Mexico by Alejandro L. Madrid,NA,NA,,Yes,,No,,10/27/2018 23:32:32,MMX
Duplicate of NHS2-0133,NHS2-1032.wav,Curing Song,NA,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212021913390003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Columbia%20World%20Library%20of%20Folk%20&%20Primitive%20Music:%20Venezuela",LP,,,https://theglobaljukebox.org/?share=Pum%C3%A9-T5403R88m,Global Jukebox,,,repeat of above,Healing,Pume,pume1238,,language,,Pumé,Pume,Northwestern South America,,0,pume1238,pume1238,yes,yes,yes,yae,No secondary function,No,,,,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Curing Song//GLOBAL JUKEBOX//,Shaman's curing song//GLOBAL JUKEBOX//,NA,//GLOBAL JUKEBOX//Coding ID: 152,Yes,6,Yes,NA,########,LAV
Can not find song,NHS2-1712.wav,The first amongst the birds,17,musiclabnas,,,,,http://gofile.me/3T2hs/FWR6t9YaO,"WorldCat, MCgill Music library",0,1,,Praise,Indo-European,stan1290,,language,,Auvergne,French,Western Europe,ital1284,indo1319,stan1290,stan1290,yes,yes,yes,fra,No secondary function,No,,,,The lyrics made it clear to me what type of song this is,NA,NA,"""the first amongst all birds is the singing nightingale. Prettily does he sing in the morning at the break of day [...] He plunges me into revery, for his voice is enchanting""",,Yes,6,Yes,,########,KVL
